,TZ2013,Area,diss,Zones,BY5Origins,BY5Destina,PTODOrigin,PTODDestin,midrich_jobs,selected_centers
986,3102,2125307.05628,0,3102.0,1669.03,280.963,1835.04,1191.6,366.9263466612638,False
987,3103,5085430.24781,0,3103.0,274.634,123.357,471.979,33.1724,15.395511048724355,False
988,3104,1240997.08392,0,3104.0,230.086,210.413,333.091,350.237,10.263674032482903,False
989,3105,1666822.37528,0,3105.0,762.873,118.086,989.759,2617.2,10.263674032482903,False
990,3106,5976829.97021,0,3106.0,43.267,59.2211,140.561,238.681,11.546633286543265,False
991,3107,5086759.88565,0,3107.0,3736.47,1712.65,6375.89,1404.29,188.59501034687335,True
992,3108,3427201.42913,0,3108.0,1210.65,71.6009,1969.63,855.761,6.414796270301815,False
993,3109,1491121.54131,0,3109.0,307.267,14.6929,812.77,112.912,3.848877762181089,False
994,3110,3073767.71837,0,3110.0,521.504,474.453,753.307,1228.95,82.10939225986323,False
995,3111,1671086.05082,0,3111.0,130.082,4.87049,436.002,105.362,1.282959254060363,False
996,3112,703494.418934,0,3112.0,180.028,3168.34,413.704,778.41,595.2930938840084,True
997,3113,4211967.59892,0,3113.0,799.032,876.993,3538.81,1590.99,155.23806974130392,False
998,3114,917406.758243,0,3114.0,6651.54,865.747,8342.61,1145.03,21.810307319026172,False
999,3115,716054.511681,0,3115.0,114.755,608.843,274.717,11.0586,114.1833736113723,False
1000,3116,1036005.74539,0,3116.0,524.167,3504.02,833.861,1284.7,581.1805420893444,True
1001,3117,2143070.22783,0,3117.0,104.798,548.878,398.264,122.556,110.33449584919121,False
1002,3118,2158947.76067,0,3118.0,257.744,1062.17,419.127,337.163,135.99368093039848,False
1003,3119,3327102.29462,0,3119.0,195.705,757.927,418.244,77.5681,138.5595994385192,False
1004,3120,7544063.4623,0,3120.0,189.905,158.434,640.649,1016.1,30.79102209744871,False
1005,3121,1982852.8133,0,3121.0,775.334,2076.73,1760.12,261.23,429.7913501102216,True
1006,3122,6488703.01222,0,3122.0,1252.71,163.468,2947.23,1113.5,30.79102209744871,False
1007,3123,1179659.3195,0,3123.0,46.2015,1542.95,99.5858,155.465,200.1416436334166,False
1008,3124,2537814.86254,0,3124.0,71.3459,264.776,549.695,289.921,48.752451654293786,False
1009,3125,109670362.079,0,3125.0,0.0,692.349,0.0,37.817,94.93898480046686,False
1010,3126,34733455.4536,0,3126.0,0.0,13.921,1592.36,379.804,3.848877762181089,False
1011,3127,42316770.5955,0,3127.0,0.0,829.59,0.0,0.0,102.63674032482903,False
1012,3201,3393790.95777,0,3201.0,1234.36,14721.4,1767.96,21790.4,2054.017765750641,True
1013,3202,1841495.62206,0,3202.0,723.412,229.693,797.165,2220.66,38.48877762181089,False
1014,3203,937326.132969,0,3203.0,1523.59,112.956,1839.45,104.331,21.810307319026172,False
1015,3204,1226568.05981,0,3204.0,2783.51,914.687,3869.51,641.878,252.7429730498915,False
1016,3205,1261206.54279,0,3205.0,2493.98,740.431,3293.28,824.572,242.47929901740858,False
1017,3206,1367171.12499,0,3206.0,3785.79,2230.88,4677.12,1556.59,83.3923515139236,True
1018,3207,1013024.23983,0,3207.0,1661.85,565.812,2183.51,368.388,51.31837016241452,False
1019,3208,1806612.55912,0,3208.0,1329.7,1076.0,3221.89,1166.57,93.65602554640648,False
1020,3209,955836.90738,0,3209.0,4011.56,135.178,4143.07,823.83,33.356940605569434,False
1021,3210,2701509.50357,0,3210.0,2453.75,815.927,2447.52,17609.8,100.0708218167083,False
1022,3211,967410.701723,0,3211.0,2999.7,26.1981,4296.77,1567.33,7.697755524362178,False
1023,3212,1603291.29263,0,3212.0,2753.98,1377.39,3621.2,993.415,178.33133631439046,True
1024,3213,1539023.05341,0,3213.0,2773.67,396.051,3557.85,1479.71,146.25735496288138,False
1025,3214,2625749.10281,0,3214.0,3688.77,1669.26,5572.31,1418.0,37.205818367750524,True
1026,3215,3915433.33119,0,3215.0,54.5036,1030.76,149.588,1003.36,269.4214433526762,False
1027,3216,437876.132351,0,3216.0,98.0598,21.9587,131.732,84.5989,3.848877762181089,False
1028,3217,1729759.02988,0,3217.0,0.0,1184.71,44.0027,1365.09,173.199499298149,False
1029,3218,816205.131568,0,3218.0,431.852,8.50463,930.221,23.2235,1.282959254060363,False
1030,3219,2505511.8703,0,3219.0,151.225,96.1233,184.356,32.1897,6.414796270301815,False
1031,3220,288811.768662,0,3220.0,797.684,166.292,1135.01,428.28,14.112551794663991,False
1032,3221,4213516.87914,0,3221.0,159.766,0.0,186.805,0.0,0.0,False
1033,3222,2190586.97675,0,3222.0,330.993,346.037,334.497,347.266,66.71388121113887,False
1034,3223,1651370.36574,0,3223.0,7954.16,1251.49,9633.27,1422.35,17.961429556845083,True
1035,3224,1268552.67577,0,3224.0,3655.53,807.593,3068.28,2414.7,11.546633286543265,False
1036,3225,1237318.55575,0,3225.0,619.403,0.082237,808.75,61.4061,0.0,False
1037,3226,1149220.88742,0,3226.0,5237.9,466.221,5514.38,1251.96,19.244388810905445,False
1038,3227,1099672.72684,0,3227.0,3831.78,820.36,4612.74,1003.06,11.546633286543265,False
1039,3228,913884.466063,0,3228.0,0.0,0.0,314.307,1953.83,0.0,False
1040,3229,877590.661709,0,3229.0,1749.04,8.361,2318.11,8.07494,1.282959254060363,False
1041,3230,748458.928024,0,3230.0,547.286,5.48949,2124.99,4014.42,1.282959254060363,False
1042,3231,1249501.4015,0,3231.0,2159.72,147.536,3078.81,2330.32,32.073981351509076,False
1043,3232,889994.042739,0,3232.0,312.462,68.5601,1107.39,638.038,17.961429556845083,False
